Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	Jerusalem
Academy				Chinese_Academy_of_Sciences
of				Chinese_Academy_of_Sciences
Sciences				Chinese_Academy_of_Sciences
suggest				
in				
the				
journal				Science_(journal)
Science				Science_(journal)
that				
the				
discovery				
supports				
the				
idea				
that				
feathers				
evolved				
from				
scales				
,				
like				
those				
found				
in				
reptiles				
.				
				
The				
study				
was				
to				
be				
published				
Friday				
.				
				
Some				
researchers				
who				
oppose				
the				
idea				
that				
birds				
evolved				
from				
dinosaurs				
embraced				
the				
new				
fossil				
as				
proof				
that				
birds				
and				
dinosaurs				
evolved				
independently				
from				
a				
common				
reptilian				
ancestor				
.				
				
But				
others				
say				
Protopteryx				
adds				
nothing				
to				
the				
dino				
-				
bird				
debate				
.				
				
`				
`				
There				
is				
nothing				
in				
the				
skeleton				
of				
this				
bird				
that				
disputes				
the				
dinosaur				
origin				
of				
birds				
,				
'				
'				
said				
Thomas				
R				
.				
Holtz				
Jr				
.				
,				
a				
University				University_of_Maryland,_College_Park
of				University_of_Maryland,_College_Park
Maryland				University_of_Maryland,_College_Park
paleobiologist				
and				
specialists				
on				
bird				
evolution				
.				
				
The				
fact				
that				
this				
Protopteryx				
has				
these				
weird				
flat				
feathers				
really				
doesn				
'				
t				
affect				
that				
issue				
.				
				
Alan				Alan_Feduccia
Feduccia				Alan_Feduccia
,				
an				
evolutionary				
biologist				
at				
the				
University				University_of_North_Carolina
of				University_of_North_Carolina
North				University_of_North_Carolina
Carolina				University_of_North_Carolina
,				
said				
the				
Chinese				China
study				
of				
Protopteryx				
is				
a				
hot				
paper				
.				
.				
.				
that				
directly				
contradicts				
the				
idea				
that				
birds				
evolved				
from				
dinosaurs				
.				
				
The				
new				
fossil				
was				
unveiled				
the				
day				
after				
researchers				
announced				
that				
another				
ancient				
Chinese				China
bird				
,				
called				
Microraptor				Microraptor
zhaoianus				
,				
supported				
the				
dinosaur				
origin				
of				
birds				
.				
				
In				
the				
study				
,				
Zhang				Zhang_(disambiguation)
and				
Zhou				Zhou_Dynasty
described				
the				
feather				
and				
bone				
structure				
found				
in				
a				
fossil				
of				
a				
starling				
-				
sized				
bird				
uncovered				
in				
northern				
China				China
,				
the				
site				
of				
many				
dinosaur				
fossil				
finds				
.				
				
The				
Chinese				China
researchers				
said				
the				
feathers				
have				
some				
of				
the				
characteristics				
of				
modern				
feathers				
,				
but				
the				
structure				
is				
more				
primitive				
than				
feathers				
found				
on				
Archaeopteryx				Archaeopteryx
,				
the				
earliest				
known				
bird				
.				
				
Archaeopteryx				Archaeopteryx
appeared				
about				
145				
million				
years				
ago				
,				
while				
Protopteryx				
was				
dated				
as				
more				
recent				
,				
about				
120				
million				
years				
ago				
.				
Microraptor				Microraptor
,				
which				
was				
about				
the				
size				
of				
a				
crow				
,				
lived				
about				
125				
million				
years				
ago				
.				
				
Some				
elements				
of				
the				
Protopteryx				
wing				
bone				
and				
muscle				
structure				
match				
those				
of				
modern				
birds				
,				
said				
Zhang				Zhang_(disambiguation)
and				
Zhou				Zhou_(disambiguation)
,				
but				
the				
wing				
retains				
a				
claw				
found				
on				
some				
primitive				
birdlike				
animals				
.				
In				
modern				
birds				
,				
that				
claw				
has				
disappeared				
and				
been				
replaced				
with				
a				
structure				
that				
adds				
lift				
to				
the				
wing				
.				
				
Nonetheless				
,				
Protopteryx				
is				
thought				
to				
have				
been				
a				
competent				
flier				
.				
				
Most				
dinosaur				
researchers				
believe				
birds				
evolved				
150				
to				
180				
million				
years				
ago				
from				
a				
dinosaur				
group				
called				
Theropods				Theropoda
.				
				
Researchers				
cite				
fundamental				
skeleton				
similarities				
to				
support				
the				
theory				
.				
				
The				
evolution				
of				
feathers				
,				
however				
,				
has				
been				
less				
clear				
.				
				
Some				
experts				
believe				
feathers				
evolved				
specifically				
to				
support				
flight				
,				
while				
others				
say				
feathers				
evolved				
first				
to				
provide				
warmth				
or				
protection				
from				
water				
.				
				
Fossils				
of				
three				
theropods				
bear				
hairlike				
images				
that				
some				
say				
could				
be				
the				
early				
precursors				
to				
feathers				
.				
				
But				
Feduccia				Alan_Feduccia
dismisses				
the				
theropod				
hair				
as				
`				
`				
dino				
fuzz				
'				
'				
and				
cites				
the				
Zhang				Zhang_(disambiguation)
and				
Zhou				Zhou_(disambiguation)
paper				
as				
proof				
that				
feathers				
evolved				
from				
reptilian				
scales				
and				
that				
this				
could				
mean				
that				
birds				
evolved				
independent				
of				
dinosaurs				
.				
				
`				
`				
Bird				
feathers				
are				
very				
closely				
related				
to				
scales				
,				
'				
'				
said				
Feduccia				Alan_Feduccia
.				
				
It				
is				
clear				
they				
evolved				
from				
elongated				
scales				
.				
				
Dino				Dino_(disambiguation)
fuzz				
has				
nothing				
to				
do				
with				
feathers				
.				
				
Larry				
Martin				
,				
a				
University				University_of_Kansas
of				University_of_Kansas
Kansas				University_of_Kansas
paleontologist				
,				
said				
the				
Chinese				China
researchers				
'				
paper				
`				
`				
is				
the				
strongest				
evidence				
yet				
that				
bird				
feathers				
evolved				
for				
flight				
and				
that				
they				
were				
derived				
from				
scales				
.				
'				
'				
				
Holtz				Lou_Holtz
,				
however				
,				
notes				
that				
Protopteryx				
,				
with				
its				
primitive				
feathers				
,				
lived				
millions				
of				
years				
after				
Archaeopteryx				Archaeopteryx
,				
which				
had				
feathers				
almost				
identical				
to				
those				
of				
modern				
birds				
.				
				
`				
`				
This				
means				
the				
feathers				
on				
Protopteryx				
were				
probably				
an				
evolutionary				
reversal				
,				
'				
'				
said				
Holtz				Lou_Holtz
,				
adding				
that				
there				
are				
many				
examples				
where				
such				
reversals				
occur				
in				
nature				
.				
				
`				
`				
This				
just				
shows				
that				
feathers				
are				
extremely				
adaptable				
structures				
,				
'				
'				
he				
said				
.				
				
Michael				
Novacek				
,				
a				
dinosaur				
expert				
at				
the				
American				American_Museum_of_Natural_History
Museum				American_Museum_of_Natural_History
of				American_Museum_of_Natural_History
Natural				American_Museum_of_Natural_History
History				American_Museum_of_Natural_History
in				
New				New_York_City
York				New_York_City
,				
says				
that				
the				
Zhang				Zhang_(disambiguation)
and				
Zhou				Zhou_Dynasty
study				
is				
`				
`				
ambiguous				
'				
'				
on				
the				
issue				
of				
dinosaurs				
and				
birds				
.				
				
`				
`				
The				
fact				
that				
you				
see				
a				
resemblance				
between				
scales				
and				
feathers				
doesn				
'				
t				
eliminate				
dinosaurs				
as				
close				
relatives				
to				
birds				
,				
'				
'				
said				
Novacek				
.				
He				
,				
too				
,				
said				
that				
evolution				
reversals				
are				
not				
rare				
.				
				
He				
said				
,				
for				
example				
,				
that				
whale				
ancestors				
lived				
on				
land				
and				
had				
fur				
,				
but				
evolution				
carried				
the				
huge				
mammals				
back				
to				
the				
sea				
.				
				
Holtz				Lou_Holtz
said				
the				
Zhang				Zhang_(disambiguation)
and				
Zhou				Zhou_Dynasty
study				
is				
important				
because				
it				
adds				
new				
understanding				
about				
the				
Enantiornithine				
,				
a				
bird				
group				
that				
dominated				
the				
latter				
part				
of				
the				
age				
of				
dinosaurs				
.				
				
`				
`				
The				
Enantiornithine				
got				
clobbered				
in				
the				
extinction				
event				
'				
'				
that				
killed				
off				
the				
dinosaurs				
about				
65				
million				
years				
ago				
,				
he				
said				
.				
				
This				
was				
followed				
by				
the				
dominance				
of				
another				
bird				
group				
,				
the				
Ornithurae				
,				
which				
later				
evolved				
into				
modern				
birds				
,				
said				
Holtz				Lou_Holtz
.				
				
_				
_				
_				
On				
the				
Net				
:				
				
Science				
journal				
:				
http				
:				
/				
/				
www				
.				
eurekalert				
.				
org				
				
Dinosaurs				
:				
http				
:				
/				
/				
www				
.				
micro				
.				
utexas				
.				
edu				
/				
courses				
/				
mcmurry				
/				
spring98				
/				
21				
/				
justin				
.				
html				
				
MOSCOW				Moscow
(				
AP				Associated_Press
)				
_				
Russian				Russia
lawmakers				
on				
Friday				
overwhelmingly				
approved				
the				
Soviet				Soviet_Union
anthem				
as				
Russia				Russia
'				
s				
national				
hymn				
_				
a				
move				
praised				
by				
some				
as				
a				
gesture				
of				
reconciliation				
and				
denounced				
by				
others				
as				
a				
symbolic				
approval				
of				
the				
nation				
'				
s				
totalitarian				
past				
.				
				
The				
State				State_Duma
Duma				State_Duma
,				
or				
lower				
house				
of				
parliament				
,				
voted				
381				
-				
51				
to				
approve				
the				
bill				
,				
which				
was				
strongly				
backed				
by				
President				
Vladimir				Vladimir_Putin
Putin				Vladimir_Putin
.				
				
The				
move				
restored				
the				
old				
anthem				
'				
s				
music				
by				
composer				
Alexander				Alexander_Alexandrov_(disambiguation)
Alexandrov				Alexander_Alexandrov_(disambiguation)
but				
not				
the				
original				
text				
that				
included				
praise				
for				
Communist				Communism
leaders				
Vladimir				Vladimir_Lenin
Lenin				Vladimir_Lenin
and				
Josef				Joseph_Stalin
Stalin				Joseph_Stalin
.				
				
By				
the				
same				
strong				
majority				
,				
the				
Duma				Duma
approved				
legislation				
formally				
endorsing				
the				
country				
'				
s				
current				
white				
-				
red				
-				
and				
-				
blue				
flag				
as				
Russia				Russia
'				
s				
official				
flag				
.				
				
That				
legislation				
also				
brings				
back				
the				
Soviet				Soviet_Union
-				
era				
red				
banner				
as				
the				
military				
'				
s				
flag				
and				
retains				
the				
Czarist				Russian_Empire
double				
-				
headed				
eagle				
as				
the				
state				
emblem				
.				
				
Putin				Vladimir_Putin
has				
said				
the				
mixture				
of				
old				
Russian				Russia
and				
Soviet				Soviet_Union
symbols				
would				
mend				
bitter				
rifts				
in				
society				
by				
paying				
tribute				
to				
the				
positive				
heritage				
of				
both				
periods				
.				
				
He				
referred				
to				
opinion				
polls				
showing				
that				
most				
people				
prefer				
Alexandrov				Alexandrov_Ensemble
'				
s				
music				
to				
a				
melody				
by				
19th				
-				
century				
composer				
Mikhail				
Glinka				
,				
which				
has				
been				
Russia				Russia
'				
s				
anthem				
since				
the				
1991				
Soviet				Soviet_Union
collapse				
.				
				
Liberal				Liberal_(disambiguation)
politicians				
and				
many				
leading				
cultural				
figures				
have				
strongly				
opposed				
the				
reinstatement				
of				
the				
Soviet				Soviet_Union
anthem				
,				
saying				
it				
symbolized				
political				
repression				
